year,maker,model,color,trans,drivet,mileage,price,body_code
2016,Volkswagen,Jetta 1.4T S,Gray,Automatic,FWD,33769,10988,20211
2017,Ford,Fusion SE,Gray,Automatic,FWD,43700,13500,20211
2015,INFINITI,Q70L 5.6,Black,Automatic,RWD,30610,29500,20211
2017,Chevrolet,Malibu L,Silver,Automatic,FWD,8609,15372,20211
2017,Kia,Optima Plug-In Hybrid EX,Silver,Automatic,FWD,18150,22881,20211
2017,Alfa,Romeo Giulia Ti,Blue,Automatic,RWD,24885,24300,20211
2017,Jaguar,XE 25t Premium,Silver,Automatic,RWD,41668,20500,20211
2017,Mercedes-Benz,CLA 250 Base,Blue,Automanual,FWD,16708,24991,20211
2014,BMW,750 i,White,Automatic,RWD,34226,26993,20211
2010,Buick,LaCrosse CXL,Gold,Automatic,FWD,87000,7900,20211
2017,Mercedes-Benz,AMG C 43 Base 4MATIC,White,Automatic,AWD,18120,43500,20211
2016,Audi,A6 2.0T Premium,White,Automatic,FWD,33471,21885,20211
2018,BMW,750 i xDrive,Gray,Automatic,AWD,9061,70998,20211
2017,Hyundai,Elantra SE,Gray,Automatic,FWD,36258,11682,20211
2019,Mercedes-Benz,E 300,Red,Automatic,RWD,7012,46984,20211
2012,Volkswagen,Jetta SE,White,Automatic,FWD,88132,6988,20211
2019,Honda,Accord Sport,Silver,CVT,FWD,7399,24000,20211
2018,Honda,Accord EX-L,Silver,CVT,FWD,44857,21588,20211
2017,Subaru,WRX Premium,White,CVT,AWD,14881,23900,20211
2014,Honda,Civic LX,Brown,CVT,FWD,41442,11481,20211
2019,Honda,Accord Sport,Silver,CVT,FWD,339,23581,20211
2018,Ford,Fusion SE,Black,Automatic,FWD,29951,15998,20211
2017,Toyota,Avalon,Black,Automatic,FWD,11995,25144,20211
2016,Acura,ILX Technology Plus Package,Gray,Automatic,FWD,40353,19950,20211
2016,Audi,A8 L 4.0T,Blue,Automatic,AWD,41696,42988,20211
2019,BMW,740 i,White,Automatic,RWD,10070,49382,20211
2014,Chevrolet,Cruze 1LT,Green,Automatic,FWD,64283,8994,20211
2017,Dodge,Charger R/T 392,White,Automatic,RWD,18288,38296,20211
2016,Lexus,GS 350 Base,Silver,Automatic,RWD,50641,30500,20211
2017,Chrysler,300 Limited,Gray,Automatic,RWD,89090,13995,20211
2017,Lexus,ES 350 Base,Black,Automatic,FWD,14477,27694,20211
2019,Genesis,G90 5.0L Ultimate,White,Automatic,RWD,421,61999,20211
2018,Genesis,G80 3.3T Sport,White,Automatic,RWD,1729,42800,20211
2018,Genesis,G90 5.0L Ultimate,Black,Automatic,RWD,13013,50888,20211
2016,BMW,528 i,White,Automatic,RWD,30023,22500,20211
2016,BMW,740 i,Gray,Automatic,RWD,20817,37995,20211
2015,INFINITI,Q50 Sport,Black,Automatic,RWD,43973,20888,20211
2016,Mercedes-Benz,CLS 400,Gray,Automatic,RWD,34848,32500,20211
2015,Audi,A4 2.0T Premium,Gray,CVT,FWD,25576,17300,20211
2018,BMW,M550 i xDrive,Black,Automatic,AWD,25597,56995,20211
2017,Mercedes-Benz,E 300,White,Automatic,RWD,19851,36891,20211
2017,BMW,640 Gran Coupe i,Black,Automatic,RWD,32625,42994,20211
2017,Maserati,Ghibli S,Black,Automatic,RWD,20136,40600,20211
2016,BMW,535 i,White,Automatic,RWD,23920,29698,20211
2018,BMW,740 i,Black,Automatic,RWD,19639,52991,20211
2017,Honda,Accord EX-L V6,Black,Automatic,FWD,36369,21334,20211
2017,Lexus,LS 460 L,White,Automatic,RWD,24276,52881,20211
2017,Mercedes-Benz,E 300 Sport,Silver,Automatic,RWD,2836,38688,20211
2017,Nissan,Maxima 3.5 S,Silver,CVT,FWD,37445,18998,20211
2016,Buick,LaCrosse Sport Touring,Black,Automatic,FWD,140949,9400,20211
2017,Volkswagen,Jetta 1.4T S,White,Automatic,FWD,24140,12724,20211
2016,BMW,535d Base,White,Automatic,RWD,13190,30998,20211
2015,Audi,A8 L 4.0T,White,Automatic,AWD,34204,39998,20211
2018,Chevrolet,Impala 2LZ,Gray,Automatic,FWD,32278,23888,20211
2016,Jaguar,XF 35t Premium,White,Automatic,RWD,5825,27600,20211
2010,Mercedes-Benz,E 350,White,Automatic,RWD,96924,12888,20211
2019,Mercedes-Benz,C 300,Silver,Automatic,RWD,7002,36983,20211
2015,Honda,Civic EX,Black,CVT,FWD,38840,13885,20211
2017,Kia,Optima Hybrid EX,Silver,Automatic,FWD,18199,21145,20211
2015,Chrysler,200 S,White,Automatic,FWD,38223,15080,20211
2010,Lexus,ES 350,White,Automatic,FWD,101905,10999,20211
2017,Audi,A4 Premium,White,Automanual,FWD,33445,23880,20211
2017,Dodge,Charger SE,Gray,Automatic,RWD,9797,23100,20211
2011,Audi,A4 2.0T Premium quattro,Other,Automatic,AWD,65852,10995,20211
2014,Honda,Civic EX,Silver,CVT,FWD,52500,12700,20211
2016,Audi,S6 4.0T quattro Premium Plus,Blue,Automatic,AWD,34229,43488,20211
2017,Toyota,Avalon Hybrid Limited,Black,CVT,FWD,199,29985,20211
2012,INFINITI,M37 Base,Gray,Automatic,RWD,56408,15900,20211
2017,Nissan,Maxima 3.5 SV,Silver,CVT,FWD,48453,17599,20211
2016,Mazda,Mazda6 i Grand Touring,White,Automatic,FWD,38779,18989,20211
2018,Kia,Optima LX,White,Automatic,FWD,44097,12900,20211
2016,Toyota,Camry SE,Silver,Automatic,FWD,22308,17782,20211
2019,Acura,TLX V6,Black,Automatic,FWD,8470,27899,20211
2016,Audi,A6 2.0T Premium,Silver,Automatic,FWD,16681,25000,20211
2016,Ford,Fusion SE,Black,Automatic,FWD,50622,13472,20211
